Order_ID,Order_Date,City,State,Category,Sub_Category,Product_Name,Brand,Quantity,Unit_Price,Discount,Sales,Profit,Customer_Type,Delivery_Time_Min,Payment_Method,Rating
B1078,2026-05-23,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,5,435,15,1848.75,427.31,Returning,26,Cash,4.7
B1079,2026-03-23,Jaipur,Rajasthan,Snacks,Snacks,Chips,Lay's,4,314,10,1130.4,105.77,Returning,30,Cash,4.4
B1080,2026-05-17,Ahmedabad,Gujarat,Fruits,Fruits,Banana,Fresh,1,216,15,183.6,42.46,New,44,UPI,4.9
B1081,2026-04-27,Mumbai,Maharashtra,Grocery,Grocery,Rice,Fortune,5,369,15,1568.25,246.22,Returning,60,Wallet,3.5
B1082,2026-06-09,Delhi,Delhi,Beverages,Beverages,Juice,Real,6,471,10,2543.4,374.66,New,12,Credit Card,3.7
B1083,2026-02-17,Jaipur,Rajasthan,Snacks,Snacks,Chips,Lay's,3,461,5,1313.85,190.53,New,33,Cash,3.6
B1084,2026-06-05,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,2,744,15,1264.8,180.18,Returning,27,Cash,3.8
B1085,2026-01-13,Bengaluru,Karnataka,Fruits,Fruits,Banana,Fresh,2,375,0,750,151.28,New,54,Credit Card,3.8
B1086,2026-03-06,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,2,759,20,1214.4,190.07,Returning,54,Wallet,3.3
B1087,2026-05-08,Pune,Maharashtra,Dairy,Dairy,Milk,Amul,2,270,10,486,65.64,New,16,Credit Card,3.8
B1088,2026-06-22,Delhi,Delhi,Beverages,Beverages,Soft Drink,Coca-Cola,1,537,5,510.15,68.98,Returning,42,Cash,4.5
B1089,2026-06-04,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,4,101,5,383.8,66.17,Returning,17,Wallet,4.2
B1090,2026-05-29,Bengaluru,Karnataka,Dairy,Dairy,Milk,Amul,7,537,20,3007.2,375.86,Returning,23,UPI,4.4
B1091,2026-06-06,Mumbai,Maharashtra,Snacks,Snacks,Chips,Lay's,7,285,5,1895.25,354.07,New,39,Credit Card,4.3
B1092,2026-01-29,Jaipur,Rajasthan,Snacks,Snacks,Biscuits,Britannia,5,545,10,2452.5,441.52,New,22,Cash,4.2
B1093,2026-03-16,Ahmedabad,Gujarat,Fruits,Fruits,Banana,Fresh,8,419,20,2681.6,281.1,Returning,46,Cash,4.3
B1094,2026-06-28,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,6,376,10,2030.4,240.53,New,31,Wallet,4.3
B1095,2026-01-15,Bengaluru,Karnataka,Dairy,Dairy,Milk,Amul,1,88,10,79.2,18.14,New,41,Wallet,3.6
B1096,2026-06-26,Pune,Maharashtra,Fruits,Fruits,Banana,Fresh,8,618,20,3955.2,620.7,New,38,UPI,4.5
B1097,2026-05-27,Delhi,Delhi,Grocery,Grocery,Atta,Aashirvaad,4,406,15,1380.4,335.15,Returning,10,UPI,4.9
B1098,2026-03-27,Pune,Maharashtra,Fruits,Fruits,Apple,Fresh,4,299,0,1196,226.12,Returning,37,Credit Card,4.3
B1099,2026-06-09,Ahmedabad,Gujarat,Snacks,Snacks,Chips,Lay's,5,498,5,2365.5,517.45,Returning,22,Credit Card,3.5
B1100,2026-05-29,Pune,Maharashtra,Dairy,Dairy,Milk,Amul,3,39,5,111.15,20.28,Returning,39,Wallet,5
B1101,2026-01-19,Delhi,Delhi,Dairy,Dairy,Curd,Mother Dairy,3,229,5,652.65,87.56,Returning,43,Credit Card,3.6
B1102,2026-02-28,Bengaluru,Karnataka,Snacks,Snacks,Chips,Lay's,8,73,15,496.4,86.22,Returning,25,Cash,3.7
B1103,2026-01-29,Delhi,Delhi,Beverages,Beverages,Juice,Real,8,417,5,3169.2,713.03,Returning,28,Credit Card,4
B1104,2026-04-16,Mumbai,Maharashtra,Beverages,Beverages,Soft Drink,Coca-Cola,2,410,15,697,139.2,Returning,39,UPI,3.2
B1105,2026-03-24,Jaipur,Rajasthan,Dairy,Dairy,Curd,Mother Dairy,8,405,20,2592,246.61,New,44,Credit Card,4
B1106,2026-03-04,Pune,Maharashtra,Fruits,Fruits,Banana,Fresh,1,220,15,187,38.06,Returning,12,UPI,3.5
B1107,2026-04-20,Ahmedabad,Gujarat,Fruits,Fruits,Apple,Fresh,4,525,20,1680,341.33,Returning,28,Credit Card,3.3
B1108,2026-02-21,Pune,Maharashtra,Grocery,Grocery,Rice,Fortune,6,387,5,2205.9,343.29,Returning,28,Cash,3.2
B1109,2026-03-15,Mumbai,Maharashtra,Snacks,Snacks,Chips,Lay's,1,303,15,257.55,29.63,Returning,22,Credit Card,3.5
B1110,2026-02-11,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,6,85,5,484.5,79.7,New,49,Credit Card,4.5
B1111,2026-01-26,Pune,Maharashtra,Beverages,Beverages,Juice,Real,7,289,15,1719.55,177.43,New,52,Wallet,3.4
B1112,2026-05-11,Bengaluru,Karnataka,Grocery,Grocery,Atta,Aashirvaad,3,401,15,1022.55,152.26,New,13,Cash,5
B1113,2026-03-17,Jaipur,Rajasthan,Grocery,Grocery,Atta,Aashirvaad,6,671,0,4026,506.05,New,40,Wallet,3.5
B1114,2026-02-23,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,4,130,20,416,47.17,New,25,UPI,3.7
B1115,2026-06-23,Ahmedabad,Gujarat,Snacks,Snacks,Chips,Lay's,4,349,0,1396,259.85,Returning,37,Credit Card,4.7
B1116,2026-05-12,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,7,182,10,1146.6,253.84,Returning,51,Wallet,3.3
B1117,2026-05-10,Mumbai,Maharashtra,Fruits,Fruits,Apple,Fresh,8,364,15,2475.2,269.05,Returning,14,Wallet,3.8
B1118,2026-05-30,Jaipur,Rajasthan,Fruits,Fruits,Banana,Fresh,2,741,20,1185.6,201.84,Returning,28,Credit Card,4.7
B1119,2026-05-09,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,5,100,15,425,66.57,Returning,50,Credit Card,3
B1120,2026-06-06,Pune,Maharashtra,Beverages,Beverages,Juice,Real,5,48,5,228,24.24,Returning,43,UPI,3.9
B1121,2026-04-17,Mumbai,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,4,647,0,2588,317.64,New,45,Wallet,5
B1122,2026-02-26,Delhi,Delhi,Dairy,Dairy,Curd,Mother Dairy,4,73,5,277.4,58.43,New,60,UPI,3.8
B1123,2026-04-26,Delhi,Delhi,Dairy,Dairy,Curd,Mother Dairy,1,43,20,34.4,4.98,Returning,41,Credit Card,4.4
B1124,2026-04-26,Ahmedabad,Gujarat,Grocery,Grocery,Rice,Fortune,6,535,0,3210,768.23,Returning,20,Cash,3.1
B1125,2026-02-15,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,7,414,20,2318.4,375.88,Returning,31,Cash,4.3
B1126,2026-03-26,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,5,524,10,2358,553.85,New,13,Credit Card,4.6
B1127,2026-04-15,Ahmedabad,Gujarat,Fruits,Fruits,Banana,Fresh,1,328,0,328,66.35,New,12,UPI,3.3
B1128,2026-04-01,Ahmedabad,Gujarat,Grocery,Grocery,Rice,Fortune,5,641,20,2564,402.45,New,35,Credit Card,3.6
B1129,2026-04-07,Jaipur,Rajasthan,Fruits,Fruits,Banana,Fresh,7,521,5,3464.65,797.43,New,60,UPI,4.3
B1130,2026-06-25,Bengaluru,Karnataka,Dairy,Dairy,Curd,Mother Dairy,4,56,5,212.8,38.63,New,11,Credit Card,3.5
B1131,2026-05-22,Ahmedabad,Gujarat,Grocery,Grocery,Rice,Fortune,5,786,0,3930,598.65,Returning,44,Cash,3.9
B1132,2026-02-07,Jaipur,Rajasthan,Snacks,Snacks,Biscuits,Britannia,6,93,20,446.4,57.15,Returning,42,UPI,3.9
B1133,2026-04-06,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,3,323,10,872.1,198.31,New,39,Cash,4.1
B1134,2026-02-03,Delhi,Delhi,Snacks,Snacks,Chips,Lay's,4,513,5,1949.4,414.99,New,37,UPI,4
B1135,2026-05-19,Pune,Maharashtra,Fruits,Fruits,Banana,Fresh,8,164,0,1312,242.37,New,57,Credit Card,4
B1136,2026-01-01,Delhi,Delhi,Grocery,Grocery,Atta,Aashirvaad,4,150,5,570,95.56,New,59,Wallet,5
B1137,2026-06-24,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,6,380,20,1824,283.65,Returning,57,UPI,3.3
B1138,2026-06-09,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,6,511,5,2912.7,313.54,Returning,18,Wallet,4
B1139,2026-06-27,Pune,Maharashtra,Dairy,Dairy,Milk,Amul,8,102,0,816,86.07,New,22,Credit Card,4.6
B1140,2026-02-19,Delhi,Delhi,Dairy,Dairy,Milk,Amul,2,688,5,1307.2,229.89,New,51,Wallet,3.3
B1141,2026-04-27,Ahmedabad,Gujarat,Fruits,Fruits,Banana,Fresh,8,378,0,3024,323.31,Returning,58,Cash,5
B1142,2026-01-03,Bengaluru,Karnataka,Dairy,Dairy,Curd,Mother Dairy,7,207,5,1376.55,180.26,New,10,Credit Card,4.6
B1143,2026-01-09,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,1,367,10,330.3,47.81,New,21,Cash,4.6
B1144,2026-02-12,Mumbai,Maharashtra,Beverages,Beverages,Soft Drink,Coca-Cola,3,731,10,1973.7,435.33,Returning,39,Cash,4.2
B1145,2026-04-26,Jaipur,Rajasthan,Dairy,Dairy,Curd,Mother Dairy,7,60,10,378,67.97,Returning,10,Credit Card,3.6
B1146,2026-01-28,Pune,Maharashtra,Snacks,Snacks,Biscuits,Britannia,7,431,15,2564.45,240.37,Returning,11,Credit Card,4.1
B1147,2026-04-03,Pune,Maharashtra,Beverages,Beverages,Soft Drink,Coca-Cola,6,447,15,2279.7,249.94,Returning,37,Cash,4.7
B1148,2026-02-15,Jaipur,Rajasthan,Grocery,Grocery,Atta,Aashirvaad,7,678,0,4746,482.03,New,15,UPI,3.3
B1149,2026-06-07,Bengaluru,Karnataka,Fruits,Fruits,Apple,Fresh,1,285,20,228,21.65,New,56,Credit Card,3.5
B1150,2026-05-26,Mumbai,Maharashtra,Beverages,Beverages,Soft Drink,Coca-Cola,2,579,5,1100.1,142.02,Returning,37,Credit Card,4.9
B1151,2026-03-30,Delhi,Delhi,Beverages,Beverages,Juice,Real,7,202,15,1201.9,147.84,Returning,26,Wallet,4.9
B1152,2026-02-08,Ahmedabad,Gujarat,Fruits,Fruits,Apple,Fresh,6,546,20,2620.8,513.66,Returning,53,UPI,3.1
B1153,2026-01-12,Delhi,Delhi,Snacks,Snacks,Chips,Lay's,8,643,15,4372.4,620.99,Returning,30,UPI,4.7
B1154,2026-03-07,Bengaluru,Karnataka,Snacks,Snacks,Biscuits,Britannia,7,142,10,894.6,78.75,New,50,Credit Card,4.3
B1155,2026-06-09,Jaipur,Rajasthan,Beverages,Beverages,Juice,Real,5,563,15,2392.75,571.15,New,57,UPI,3
B1156,2026-05-12,Pune,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,8,625,0,5000,1057.68,New,46,Wallet,4.1
B1157,2026-05-17,Ahmedabad,Gujarat,Fruits,Fruits,Apple,Fresh,8,545,0,4360,474.17,New,58,Cash,4.3
B1158,2026-04-02,Mumbai,Maharashtra,Beverages,Beverages,Juice,Real,6,171,5,974.7,186.46,Returning,29,Credit Card,4.8
B1159,2026-02-20,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,8,622,5,4727.2,1115.93,New,44,Wallet,3.1
B1160,2026-04-17,Bengaluru,Karnataka,Snacks,Snacks,Chips,Lay's,1,563,5,534.85,85.51,New,13,Wallet,3.7
B1161,2026-04-27,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,4,487,15,1655.8,202.9,Returning,28,Credit Card,3
B1162,2026-05-30,Pune,Maharashtra,Beverages,Beverages,Juice,Real,6,610,5,3477,655.09,New,36,UPI,4.2
B1163,2026-02-22,Ahmedabad,Gujarat,Beverages,Beverages,Juice,Real,7,58,5,385.7,93.29,New,49,UPI,3.7
B1164,2026-05-10,Bengaluru,Karnataka,Dairy,Dairy,Milk,Amul,6,607,0,3642,331.06,Returning,52,Cash,3.4
B1165,2026-03-14,Jaipur,Rajasthan,Grocery,Grocery,Rice,Fortune,1,86,15,73.1,10.43,New,51,Cash,4.6
B1166,2026-06-13,Pune,Maharashtra,Fruits,Fruits,Apple,Fresh,6,716,5,4081.2,1008.07,New,38,Credit Card,4.7
B1167,2026-03-09,Delhi,Delhi,Grocery,Grocery,Atta,Aashirvaad,6,202,20,969.6,102.73,New,27,Credit Card,3.3
B1168,2026-05-16,Pune,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,1,525,5,498.75,48.38,New,25,Cash,4.7
B1169,2026-06-23,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,4,307,10,1105.2,188.55,New,50,Cash,4.5
B1170,2026-04-17,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,6,522,0,3132,324.58,Returning,54,Credit Card,4.5
B1171,2026-04-09,Bengaluru,Karnataka,Dairy,Dairy,Milk,Amul,7,28,5,186.2,42.71,Returning,42,Cash,4
B1172,2026-05-07,Jaipur,Rajasthan,Fruits,Fruits,Apple,Fresh,1,207,15,175.95,16.16,New,18,Credit Card,4.8
B1173,2026-03-07,Ahmedabad,Gujarat,Beverages,Beverages,Soft Drink,Coca-Cola,1,797,5,757.15,174.28,Returning,37,Wallet,3.6
B1174,2026-05-15,Jaipur,Rajasthan,Dairy,Dairy,Milk,Amul,2,615,10,1107,229.29,New,16,Wallet,3.8
B1175,2026-04-06,Jaipur,Rajasthan,Grocery,Grocery,Rice,Fortune,8,525,0,4200,403.25,Returning,40,UPI,4.3
B1176,2026-02-24,Ahmedabad,Gujarat,Dairy,Dairy,Milk,Amul,5,55,0,275,40.19,New,31,UPI,4.5
B1177,2026-02-02,Bengaluru,Karnataka,Dairy,Dairy,Curd,Mother Dairy,1,69,20,55.2,4.51,Returning,46,Credit Card,3.5
B1178,2026-01-23,Pune,Maharashtra,Beverages,Beverages,Juice,Real,3,656,10,1771.2,430.92,Returning,19,Credit Card,3.8
B1179,2026-04-11,Ahmedabad,Gujarat,Fruits,Fruits,Banana,Fresh,3,320,10,864,188.21,Returning,35,Credit Card,4
B1180,2026-01-28,Mumbai,Maharashtra,Dairy,Dairy,Curd,Mother Dairy,4,330,0,1320,265.61,Returning,60,UPI,3.7
B1181,2026-03-05,Jaipur,Rajasthan,Dairy,Dairy,Curd,Mother Dairy,3,776,0,2328,353.17,New,14,Wallet,3.7
B1182,2026-01-19,Pune,Maharashtra,Grocery,Grocery,Rice,Fortune,3,782,15,1994.1,430.26,New,38,UPI,4.1
B1183,2026-04-05,Ahmedabad,Gujarat,Dairy,Dairy,Curd,Mother Dairy,7,614,20,3438.4,515.65,New,32,Cash,4.1
B1184,2026-05-28,Bengaluru,Karnataka,Snacks,Snacks,Chips,Lay's,5,125,20,500,45.85,New,22,Cash,3.4
B1185,2026-05-01,Jaipur,Rajasthan,Fruits,Fruits,Apple,Fresh,3,321,0,963,89.68,New,52,Cash,4.8
B1186,2026-02-19,Ahmedabad,Gujarat,Fruits,Fruits,Apple,Fresh,4,744,10,2678.4,317.06,Returning,59,UPI,3.6
B1187,2026-03-17,Mumbai,Maharashtra,Beverages,Beverages,Juice,Real,8,99,5,752.4,118.49,Returning,60,UPI,4
B1188,2026-02-18,Jaipur,Rajasthan,Grocery,Grocery,Atta,Aashirvaad,1,147,15,124.95,27.88,New,26,Wallet,4.1
B1189,2026-03-13,Jaipur,Rajasthan,Fruits,Fruits,Banana,Fresh,1,765,0,765,180.58,New,42,Wallet,4.6
B1190,2026-02-22,Mumbai,Maharashtra,Grocery,Grocery,Atta,Aashirvaad,1,109,20,87.2,18.21,New,52,Credit Card,3
B1191,2026-04-22,Bengaluru,Karnataka,Fruits,Fruits,Banana,Fresh,8,218,20,1395.2,279.64,Returning,14,UPI,4.5
B1192,2026-06-20,Mumbai,Maharashtra,Dairy,Dairy,Milk,Amul,7,32,5,212.8,22.66,Returning,48,Credit Card,4.2
B1193,2026-01-18,Delhi,Delhi,Beverages,Beverages,Juice,Real,1,405,5,384.75,36.42,New,39,Cash,3.2
B1194,2026-05-17,Ahmedabad,Gujarat,Dairy,Dairy,Curd,Mother Dairy,8,274,15,1863.2,189.37,New,43,UPI,3.2
